machine_id,RUL,usine,ligne_production,machine_uid
1,18,2,1,1_2_1
2,79,2,1,2_2_1
3,106,2,1,3_2_1
4,110,2,1,4_2_1
5,15,2,1,5_2_1
6,155,2,1,6_2_1
7,6,2,1,7_2_1
8,90,2,1,8_2_1
9,11,2,1,9_2_1
10,79,2,1,10_2_1
11,6,2,1,11_2_1
12,73,2,1,12_2_1
13,30,2,1,13_2_1
14,11,2,1,14_2_1
15,37,2,1,15_2_1
16,67,2,1,16_2_1
17,68,2,1,17_2_1
18,99,2,1,18_2_1
19,22,2,1,19_2_1
20,54,2,1,20_2_1
21,97,2,1,21_2_1
22,10,2,1,22_2_1
23,142,2,1,23_2_1
24,77,2,1,24_2_1
25,88,2,1,25_2_1
26,163,2,1,26_2_1
27,126,2,1,27_2_1
28,138,2,1,28_2_1
29,83,2,1,29_2_1
30,78,2,1,30_2_1
31,75,2,1,31_2_1
32,11,2,1,32_2_1
33,53,2,1,33_2_1
34,173,2,1,34_2_1
35,63,2,1,35_2_1
36,100,2,1,36_2_1
37,151,2,1,37_2_1
38,55,2,1,38_2_1
39,48,2,1,39_2_1
40,37,2,1,40_2_1
41,44,2,1,41_2_1
42,27,2,1,42_2_1
43,18,2,1,43_2_1
44,6,2,1,44_2_1
45,15,2,1,45_2_1
46,112,2,1,46_2_1
47,131,2,1,47_2_1
48,13,2,1,48_2_1
49,122,2,1,49_2_1
50,13,2,1,50_2_1
51,98,2,1,51_2_1
52,53,2,1,52_2_1
53,52,2,1,53_2_1
54,106,2,1,54_2_1
55,103,2,1,55_2_1
56,152,2,1,56_2_1
57,123,2,1,57_2_1
58,26,2,1,58_2_1
59,178,2,1,59_2_1
60,73,2,1,60_2_1
61,169,2,1,61_2_1
62,39,2,1,62_2_1
63,39,2,1,63_2_1
64,14,2,1,64_2_1
65,11,2,1,65_2_1
66,121,2,1,66_2_1
67,86,2,1,67_2_1
68,56,2,1,68_2_1
69,115,2,1,69_2_1
70,17,2,1,70_2_1
71,148,2,1,71_2_1
72,104,2,1,72_2_1
73,78,2,1,73_2_1
74,86,2,1,74_2_1
75,98,2,1,75_2_1
76,36,2,1,76_2_1
77,94,2,1,77_2_1
78,52,2,1,78_2_1
79,91,2,1,79_2_1
80,15,2,1,80_2_1
81,141,2,1,81_2_1
82,74,2,1,82_2_1
83,146,2,1,83_2_1
84,17,2,1,84_2_1
85,47,2,1,85_2_1
86,194,2,1,86_2_1
87,21,2,1,87_2_1
88,79,2,1,88_2_1
89,97,2,1,89_2_1
90,8,2,1,90_2_1
91,9,2,1,91_2_1
92,73,2,1,92_2_1
93,183,2,1,93_2_1
94,97,2,1,94_2_1
95,73,2,1,95_2_1
96,49,2,1,96_2_1
97,31,2,1,97_2_1
98,97,2,1,98_2_1
99,9,2,1,99_2_1
100,14,2,1,100_2_1
101,106,2,1,101_2_1
102,8,2,1,102_2_1
103,8,2,1,103_2_1
104,106,2,1,104_2_1
105,116,2,1,105_2_1
106,120,2,1,106_2_1
107,61,2,1,107_2_1
108,168,2,1,108_2_1
109,35,2,1,109_2_1
110,80,2,1,110_2_1
111,9,2,1,111_2_1
112,50,2,1,112_2_1
